datetime,reference_datetime,site_id,family,parameter,variable,predicted,model_id
2021-09-27,2021-09-27,BLAN,ensemble,1,amblyomma_americanum,5.485758794499038,basic_prophet
2021-10-04,2021-09-27,BLAN,ensemble,1,amblyomma_americanum,5.36097533958472,basic_prophet
2021-10-11,2021-09-27,BLAN,ensemble,1,amblyomma_americanum,5.18688317328754,basic_prophet
2021-10-18,2021-09-27,BLAN,ensemble,1,amblyomma_americanum,4.919149819905571,basic_prophet
2021-10-25,2021-09-27,BLAN,ensemble,1,amblyomma_americanum,4.765560472055395,basic_prophet
2021-11-01,2021-09-27,BLAN,ensemble,1,amblyomma_americanum,4.982242900524443,basic_prophet
2021-09-27,2021-09-27,KONZ,ensemble,1,amblyomma_americanum,38.67712366918863,basic_prophet
2021-10-04,2021-09-27,KONZ,ensemble,1,amblyomma_americanum,34.050062985468166,basic_prophet
2021-10-11,2021-09-27,KONZ,ensemble,1,amblyomma_americanum,32.6550086596179,basic_prophet
2021-10-18,2021-09-27,KONZ,ensemble,1,amblyomma_americanum,30.051130967862875,basic_prophet
2021-10-25,2021-09-27,KONZ,ensemble,1,amblyomma_americanum,30.521177291836082,basic_prophet
2021-11-01,2021-09-27,KONZ,ensemble,1,amblyomma_americanum,30.275564157377634,basic_prophet
2021-09-27,2021-09-27,LENO,ensemble,1,amblyomma_americanum,10.997270598986995,basic_prophet
2021-10-04,2021-09-27,LENO,ensemble,1,amblyomma_americanum,3.8820690717806756,basic_prophet
2021-10-11,2021-09-27,LENO,ensemble,1,amblyomma_americanum,0,basic_prophet
2021-10-18,2021-09-27,LENO,ensemble,1,amblyomma_americanum,0,basic_prophet
2021-10-25,2021-09-27,LENO,ensemble,1,amblyomma_americanum,0,basic_prophet
2021-11-01,2021-09-27,LENO,ensemble,1,amblyomma_americanum,0,basic_prophet
2021-09-27,2021-09-27,ORNL,ensemble,1,amblyomma_americanum,198.70765058226723,basic_prophet
2021-10-04,2021-09-27,ORNL,ensemble,1,amblyomma_americanum,185.79869070725925,basic_prophet
2021-10-11,2021-09-27,ORNL,ensemble,1,amblyomma_americanum,181.74690549677274,basic_prophet
