datetime,reference_datetime,site_id,family,parameter,variable,predicted,model_id
2021-09-27,2021-09-27,BLAN,ensemble,1,amblyomma_americanum,3.66113753482539,full_arima
2021-10-04,2021-09-27,BLAN,ensemble,1,amblyomma_americanum,2.017015738153367,full_arima
2021-10-11,2021-09-27,BLAN,ensemble,1,amblyomma_americanum,2.685516083817531,full_arima
2021-10-18,2021-09-27,BLAN,ensemble,1,amblyomma_americanum,3.03037409754251,full_arima
2021-10-25,2021-09-27,BLAN,ensemble,1,amblyomma_americanum,2.922001097427723,full_arima
2021-11-01,2021-09-27,BLAN,ensemble,1,amblyomma_americanum,3.2840818385288713,full_arima
2021-09-27,2021-09-27,KONZ,ensemble,1,amblyomma_americanum,39.864375090483314,full_arima
2021-10-04,2021-09-27,KONZ,ensemble,1,amblyomma_americanum,40.38280167185007,full_arima
2021-10-11,2021-09-27,KONZ,ensemble,1,amblyomma_americanum,35.645564546700015,full_arima
2021-10-18,2021-09-27,KONZ,ensemble,1,amblyomma_americanum,35.11224537983291,full_arima
2021-10-25,2021-09-27,KONZ,ensemble,1,amblyomma_americanum,33.70549566671174,full_arima
2021-11-01,2021-09-27,KONZ,ensemble,1,amblyomma_americanum,37.55110755011926,full_arima
2021-09-27,2021-09-27,LENO,ensemble,1,amblyomma_americanum,0,full_arima
2021-10-04,2021-09-27,LENO,ensemble,1,amblyomma_americanum,0,full_arima
2021-10-11,2021-09-27,LENO,ensemble,1,amblyomma_americanum,0.1983084382954199,full_arima
2021-10-18,2021-09-27,LENO,ensemble,1,amblyomma_americanum,2.4882853721226947,full_arima
2021-10-25,2021-09-27,LENO,ensemble,1,amblyomma_americanum,3.792846612320971,full_arima
2021-11-01,2021-09-27,LENO,ensemble,1,amblyomma_americanum,5.002655967887613,full_arima
2021-09-27,2021-09-27,ORNL,ensemble,1,amblyomma_americanum,26.23994388645594,full_arima
2021-10-04,2021-09-27,ORNL,ensemble,1,amblyomma_americanum,19.69172998163786,full_arima
2021-10-11,2021-09-27,ORNL,ensemble,1,amblyomma_americanum,4.714100328786859,full_arima
2021-10-18,2021-09-27,ORNL,ensemble,1,amblyomma_americanum,0,full_arima
2021-10-25,2021-09-27,ORNL,ensemble,1,amblyomma_americanum,0,full_arima
2021-11-01,2021-09-27,ORNL,ensemble,1,amblyomma_americanum,0,full_arima
2021-09-27,2021-09-27,OSBS,ensemble,1,amblyomma_americanum,32.2143869023104,full_arima
2021-10-04,2021-09-27,OSBS,ensemble,1,amblyomma_americanum,32.37387944789809,full_arima
2021-10-11,2021-09-27,OSBS,ensemble,1,amblyomma_americanum,34.059851148628745,full_arima
2021-10-18,2021-09-27,OSBS,ensemble,1,amblyomma_americanum,35.55319248108237,full_arima
2021-10-25,2021-09-27,OSBS,ensemble,1,amblyomma_americanum,35.90351877611175,full_arima
2021-11-01,2021-09-27,OSBS,ensemble,1,amblyomma_americanum,30.591855812332785,full_arima
2021-09-27,2021-09-27,SCBI,ensemble,1,amblyomma_americanum,0.05832055408331893,full_arima
2021-10-04,2021-09-27,SCBI,ensemble,1,amblyomma_americanum,2.539484863522809,full_arima
2021-10-11,2021-09-27,SCBI,ensemble,1,amblyomma_americanum,2.404301249168888,full_arima
2021-10-18,2021-09-27,SCBI,ensemble,1,amblyomma_americanum,3.5526322521813767,full_arima
2021-10-25,2021-09-27,SCBI,ensemble,1,amblyomma_americanum,4.196970845165085,full_arima
2021-11-01,2021-09-27,SCBI,ensemble,1,amblyomma_americanum,3.862411867545267,full_arima
2021-09-27,2021-09-27,SERC,ensemble,1,amblyomma_americanum,28.361206356531333,full_arima
2021-10-04,2021-09-27,SERC,ensemble,1,amblyomma_americanum,33.60830870019631,full_arima
2021-10-11,2021-09-27,SERC,ensemble,1,amblyomma_americanum,28.855493708327717,full_arima
2021-10-18,2021-09-27,SERC,ensemble,1,amblyomma_americanum,24.926182267722506,full_arima
2021-10-25,2021-09-27,SERC,ensemble,1,amblyomma_americanum,23.182047126416116,full_arima
2021-11-01,2021-09-27,SERC,ensemble,1,amblyomma_americanum,21.26124012487986,full_arima
2021-09-27,2021-09-27,TALL,ensemble,1,amblyomma_americanum,57.80778534894667,full_arima
2021-10-04,2021-09-27,TALL,ensemble,1,amblyomma_americanum,58.43961654660956,full_arima
2021-10-11,2021-09-27,TALL,ensemble,1,amblyomma_americanum,53.19699084448256,full_arima
2021-10-18,2021-09-27,TALL,ensemble,1,amblyomma_americanum,53.8945869978185,full_arima
2021-10-25,2021-09-27,TALL,ensemble,1,amblyomma_americanum,55.788938358723485,full_arima
2021-11-01,2021-09-27,TALL,ensemble,1,amblyomma_americanum,60.02151820453854,full_arima
2021-09-27,2021-09-27,UKFS,ensemble,1,amblyomma_americanum,99.1863902746372,full_arima
2021-10-04,2021-09-27,UKFS,ensemble,1,amblyomma_americanum,95.24667324353847,full_arima
2021-10-11,2021-09-27,UKFS,ensemble,1,amblyomma_americanum,93.99854896396904,full_arima
2021-10-18,2021-09-27,UKFS,ensemble,1,amblyomma_americanum,93.60823590973769,full_arima
2021-10-25,2021-09-27,UKFS,ensemble,1,amblyomma_americanum,92.91875543619825,full_arima
2021-11-01,2021-09-27,UKFS,ensemble,1,amblyomma_americanum,94.2371420218883,full_arima
2021-09-27,2021-09-27,BLAN,ensemble,2,amblyomma_americanum,3.6561726749865326,full_arima
2021-10-04,2021-09-27,BLAN,ensemble,2,amblyomma_americanum,2.4258550713705254,full_arima
2021-10-11,2021-09-27,BLAN,ensemble,2,amblyomma_americanum,2.9076855020046115,full_arima
2021-10-18,2021-09-27,BLAN,ensemble,2,amblyomma_americanum,3.1542282977846794,full_arima
2021-10-25,2021-09-27,BLAN,ensemble,2,amblyomma_americanum,2.7661883343263534,full_arima
2021-11-01,2021-09-27,BLAN,ensemble,2,amblyomma_americanum,2.5847312827110565,full_arima
2021-09-27,2021-09-27,KONZ,ensemble,2,amblyomma_americanum,40.46812368935608,full_arima
2021-10-04,2021-09-27,KONZ,ensemble,2,amblyomma_americanum,39.21437876107029,full_arima
2021-10-11,2021-09-27,KONZ,ensemble,2,amblyomma_americanum,37.0519222568285,full_arima
2021-10-18,2021-09-27,KONZ,ensemble,2,amblyomma_americanum,37.03363194508634,full_arima
2021-10-25,2021-09-27,KONZ,ensemble,2,amblyomma_americanum,32.8341533677763,full_arima
2021-11-01,2021-09-27,KONZ,ensemble,2,amblyomma_americanum,32.43307293391691,full_arima
2021-09-27,2021-09-27,LENO,ensemble,2,amblyomma_americanum,0,full_arima
2021-10-04,2021-09-27,LENO,ensemble,2,amblyomma_americanum,0.05957400986821115,full_arima
2021-10-11,2021-09-27,LENO,ensemble,2,amblyomma_americanum,0.8710719632197477,full_arima
2021-10-18,2021-09-27,LENO,ensemble,2,amblyomma_americanum,2.9387119207252628,full_arima
2021-10-25,2021-09-27,LENO,ensemble,2,amblyomma_americanum,3.7856219807483504,full_arima
2021-11-01,2021-09-27,LENO,ensemble,2,amblyomma_americanum,5.443212581849975,full_arima
2021-09-27,2021-09-27,ORNL,ensemble,2,amblyomma_americanum,25.933458122805988,full_arima
2021-10-04,2021-09-27,ORNL,ensemble,2,amblyomma_americanum,19.869260825220227,full_arima
2021-10-11,2021-09-27,ORNL,ensemble,2,amblyomma_americanum,6.317644253497637,full_arima
2021-10-18,2021-09-27,ORNL,ensemble,2,amblyomma_americanum,0.7900468339691322,full_arima
2021-10-25,2021-09-27,ORNL,ensemble,2,amblyomma_americanum,0,full_arima
2021-11-01,2021-09-27,ORNL,ensemble,2,amblyomma_americanum,0,full_arima
2021-09-27,2021-09-27,OSBS,ensemble,2,amblyomma_americanum,32.190239226659855,full_arima
2021-10-04,2021-09-27,OSBS,ensemble,2,amblyomma_americanum,31.507935809890654,full_arima
2021-10-11,2021-09-27,OSBS,ensemble,2,amblyomma_americanum,32.575352323203475,full_arima
2021-10-18,2021-09-27,OSBS,ensemble,2,amblyomma_americanum,33.743586936963105,full_arima
2021-10-25,2021-09-27,OSBS,ensemble,2,amblyomma_americanum,36.456409133367245,full_arima
2021-11-01,2021-09-27,OSBS,ensemble,2,amblyomma_americanum,33.78809364710746,full_arima
2021-09-27,2021-09-27,SCBI,ensemble,2,amblyomma_americanum,0,full_arima
