datetime,reference_datetime,site_id,family,parameter,variable,predicted,model_id
2021-09-27,2021-09-27,BLAN,ensemble,1,amblyomma_americanum,9.881289508145565,full_prophet
2021-10-04,2021-09-27,BLAN,ensemble,1,amblyomma_americanum,9.564627407302357,full_prophet
2021-10-11,2021-09-27,BLAN,ensemble,1,amblyomma_americanum,9.05298661467349,full_prophet
2021-10-18,2021-09-27,BLAN,ensemble,1,amblyomma_americanum,8.885321400432504,full_prophet
2021-10-25,2021-09-27,BLAN,ensemble,1,amblyomma_americanum,9.038067080388057,full_prophet
2021-11-01,2021-09-27,BLAN,ensemble,1,amblyomma_americanum,9.412117487289768,full_prophet
2021-09-27,2021-09-27,KONZ,ensemble,1,amblyomma_americanum,13.286296581145601,full_prophet
2021-10-04,2021-09-27,KONZ,ensemble,1,amblyomma_americanum,0,full_prophet
2021-10-11,2021-09-27,KONZ,ensemble,1,amblyomma_americanum,0,full_prophet
2021-10-18,2021-09-27,KONZ,ensemble,1,amblyomma_americanum,3.4420426700101854,full_prophet
2021-10-25,2021-09-27,KONZ,ensemble,1,amblyomma_americanum,13.072022858679514,full_prophet
2021-11-01,2021-09-27,KONZ,ensemble,1,amblyomma_americanum,43.543837051446204,full_prophet
2021-09-27,2021-09-27,LENO,ensemble,1,amblyomma_americanum,0,full_prophet
2021-10-04,2021-09-27,LENO,ensemble,1,amblyomma_americanum,0,full_prophet
2021-10-11,2021-09-27,LENO,ensemble,1,amblyomma_americanum,0,full_prophet
2021-10-18,2021-09-27,LENO,ensemble,1,amblyomma_americanum,0,full_prophet
2021-10-25,2021-09-27,LENO,ensemble,1,amblyomma_americanum,0,full_prophet
2021-11-01,2021-09-27,LENO,ensemble,1,amblyomma_americanum,4.86062626961656,full_prophet
2021-09-27,2021-09-27,ORNL,ensemble,1,amblyomma_americanum,36.69461116922122,full_prophet
2021-10-04,2021-09-27,ORNL,ensemble,1,amblyomma_americanum,44.95684613586539,full_prophet
2021-10-11,2021-09-27,ORNL,ensemble,1,amblyomma_americanum,15.702906284582413,full_prophet
2021-10-18,2021-09-27,ORNL,ensemble,1,amblyomma_americanum,7.946399003558768,full_prophet
2021-10-25,2021-09-27,ORNL,ensemble,1,amblyomma_americanum,17.458418518517306,full_prophet
2021-11-01,2021-09-27,ORNL,ensemble,1,amblyomma_americanum,29.716029570107143,full_prophet
2021-09-27,2021-09-27,OSBS,ensemble,1,amblyomma_americanum,33.25107157239226,full_prophet
2021-10-04,2021-09-27,OSBS,ensemble,1,amblyomma_americanum,25.02298723042212,full_prophet
2021-10-11,2021-09-27,OSBS,ensemble,1,amblyomma_americanum,28.87188665541211,full_prophet
2021-10-18,2021-09-27,OSBS,ensemble,1,amblyomma_americanum,30.51989483135987,full_prophet
2021-10-25,2021-09-27,OSBS,ensemble,1,amblyomma_americanum,23.15587877828045,full_prophet
2021-11-01,2021-09-27,OSBS,ensemble,1,amblyomma_americanum,16.178080510427232,full_prophet
2021-09-27,2021-09-27,SCBI,ensemble,1,amblyomma_americanum,0,full_prophet
2021-10-04,2021-09-27,SCBI,ensemble,1,amblyomma_americanum,1.0798060390267377,full_prophet
2021-10-11,2021-09-27,SCBI,ensemble,1,amblyomma_americanum,0,full_prophet
2021-10-18,2021-09-27,SCBI,ensemble,1,amblyomma_americanum,0,full_prophet
2021-10-25,2021-09-27,SCBI,ensemble,1,amblyomma_americanum,0,full_prophet
2021-11-01,2021-09-27,SCBI,ensemble,1,amblyomma_americanum,0,full_prophet
2021-09-27,2021-09-27,SERC,ensemble,1,amblyomma_americanum,25.834119887221263,full_prophet
2021-10-04,2021-09-27,SERC,ensemble,1,amblyomma_americanum,27.367569663254034,full_prophet
2021-10-11,2021-09-27,SERC,ensemble,1,amblyomma_americanum,25.82359850023974,full_prophet
2021-10-18,2021-09-27,SERC,ensemble,1,amblyomma_americanum,24.462962101252902,full_prophet
2021-10-25,2021-09-27,SERC,ensemble,1,amblyomma_americanum,25.54889021694553,full_prophet
2021-11-01,2021-09-27,SERC,ensemble,1,amblyomma_americanum,21.76730861090594,full_prophet
2021-09-27,2021-09-27,TALL,ensemble,1,amblyomma_americanum,62.076873760445146,full_prophet
2021-10-04,2021-09-27,TALL,ensemble,1,amblyomma_americanum,57.40079149484255,full_prophet
2021-10-11,2021-09-27,TALL,ensemble,1,amblyomma_americanum,50.86484447226349,full_prophet
2021-10-18,2021-09-27,TALL,ensemble,1,amblyomma_americanum,49.44519243632223,full_prophet
2021-10-25,2021-09-27,TALL,ensemble,1,amblyomma_americanum,52.39670846708005,full_prophet
2021-11-01,2021-09-27,TALL,ensemble,1,amblyomma_americanum,55.05944470711025,full_prophet
2021-09-27,2021-09-27,UKFS,ensemble,1,amblyomma_americanum,86.42654977658763,full_prophet
2021-10-04,2021-09-27,UKFS,ensemble,1,amblyomma_americanum,81.80103353357168,full_prophet
2021-10-11,2021-09-27,UKFS,ensemble,1,amblyomma_americanum,59.61901798362132,full_prophet
2021-10-18,2021-09-27,UKFS,ensemble,1,amblyomma_americanum,68.05410449358664,full_prophet
2021-10-25,2021-09-27,UKFS,ensemble,1,amblyomma_americanum,84.73915740357609,full_prophet
2021-11-01,2021-09-27,UKFS,ensemble,1,amblyomma_americanum,124.50556486571752,full_prophet
2021-09-27,2021-09-27,BLAN,ensemble,2,amblyomma_americanum,9.678859843133083,full_prophet
2021-10-04,2021-09-27,BLAN,ensemble,2,amblyomma_americanum,9.74753347019776,full_prophet
2021-10-11,2021-09-27,BLAN,ensemble,2,amblyomma_americanum,9.05430481804903,full_prophet
2021-10-18,2021-09-27,BLAN,ensemble,2,amblyomma_americanum,8.51627637477076,full_prophet
2021-10-25,2021-09-27,BLAN,ensemble,2,amblyomma_americanum,8.672559487176292,full_prophet
2021-11-01,2021-09-27,BLAN,ensemble,2,amblyomma_americanum,9.092735055077902,full_prophet
2021-09-27,2021-09-27,KONZ,ensemble,2,amblyomma_americanum,18.315290103973,full_prophet
2021-10-04,2021-09-27,KONZ,ensemble,2,amblyomma_americanum,0,full_prophet
2021-10-11,2021-09-27,KONZ,ensemble,2,amblyomma_americanum,4.734310553804313,full_prophet
2021-10-18,2021-09-27,KONZ,ensemble,2,amblyomma_americanum,6.6896209206851,full_prophet
2021-10-25,2021-09-27,KONZ,ensemble,2,amblyomma_americanum,0,full_prophet
2021-11-01,2021-09-27,KONZ,ensemble,2,amblyomma_americanum,11.024163494856829,full_prophet
2021-09-27,2021-09-27,LENO,ensemble,2,amblyomma_americanum,0,full_prophet
2021-10-04,2021-09-27,LENO,ensemble,2,amblyomma_americanum,0.6288972608653154,full_prophet
2021-10-11,2021-09-27,LENO,ensemble,2,amblyomma_americanum,0,full_prophet
2021-10-18,2021-09-27,LENO,ensemble,2,amblyomma_americanum,0,full_prophet
2021-10-25,2021-09-27,LENO,ensemble,2,amblyomma_americanum,0,full_prophet
2021-11-01,2021-09-27,LENO,ensemble,2,amblyomma_americanum,2.2043806135771002,full_prophet
2021-09-27,2021-09-27,ORNL,ensemble,2,amblyomma_americanum,37.629944265629916,full_prophet
2021-10-04,2021-09-27,ORNL,ensemble,2,amblyomma_americanum,46.64468564450352,full_prophet
2021-10-11,2021-09-27,ORNL,ensemble,2,amblyomma_americanum,20.536689268415106,full_prophet
2021-10-18,2021-09-27,ORNL,ensemble,2,amblyomma_americanum,15.203605732601778,full_prophet
2021-10-25,2021-09-27,ORNL,ensemble,2,amblyomma_americanum,0,full_prophet
2021-11-01,2021-09-27,ORNL,ensemble,2,amblyomma_americanum,9.022620612967918,full_prophet
2021-09-27,2021-09-27,OSBS,ensemble,2,amblyomma_americanum,33.10034326562522,full_prophet
2021-10-04,2021-09-27,OSBS,ensemble,2,amblyomma_americanum,22.325682454757168,full_prophet
2021-10-11,2021-09-27,OSBS,ensemble,2,amblyomma_americanum,26.965127978297033,full_prophet
2021-10-18,2021-09-27,OSBS,ensemble,2,amblyomma_americanum,28.928730179054487,full_prophet
2021-10-25,2021-09-27,OSBS,ensemble,2,amblyomma_americanum,31.64306320953676,full_prophet
2021-11-01,2021-09-27,OSBS,ensemble,2,amblyomma_americanum,26.735046508735902,full_prophet
2021-09-27,2021-09-27,SCBI,ensemble,2,amblyomma_americanum,0,full_prophet
2021-10-04,2021-09-27,SCBI,ensemble,2,amblyomma_americanum,0,full_prophet
2021-10-11,2021-09-27,SCBI,ensemble,2,amblyomma_americanum,0,full_prophet
2021-10-18,2021-09-27,SCBI,ensemble,2,amblyomma_americanum,0,full_prophet
2021-10-25,2021-09-27,SCBI,ensemble,2,amblyomma_americanum,0,full_prophet
2021-11-01,2021-09-27,SCBI,ensemble,2,amblyomma_americanum,0,full_prophet
2021-09-27,2021-09-27,SERC,ensemble,2,amblyomma_americanum,25.8206541219413,full_prophet
2021-10-04,2021-09-27,SERC,ensemble,2,amblyomma_americanum,27.195398064818416,full_prophet
2021-10-11,2021-09-27,SERC,ensemble,2,amblyomma_americanum,25.686159955915507,full_prophet
2021-10-18,2021-09-27,SERC,ensemble,2,amblyomma_americanum,24.967600027960323,full_prophet
2021-10-25,2021-09-27,SERC,ensemble,2,amblyomma_americanum,25.78547343387775,full_prophet
2021-11-01,2021-09-27,SERC,ensemble,2,amblyomma_americanum,21.82425368235991,full_prophet
2021-09-27,2021-09-27,TALL,ensemble,2,amblyomma_americanum,62.12495649369811,full_prophet
2021-10-04,2021-09-27,TALL,ensemble,2,amblyomma_americanum,59.89788121992533,full_prophet
