datetime,reference_datetime,site_id,family,parameter,variable,predicted,model_id
2021-09-27,2021-09-27,BLAN,ensemble,1,amblyomma_americanum,4.249095761096159,top_3_weighted_average
2021-09-27,2021-09-27,BLAN,ensemble,2,amblyomma_americanum,4.194028084298113,top_3_weighted_average
2021-09-27,2021-09-27,BLAN,ensemble,3,amblyomma_americanum,4.127714400792759,top_3_weighted_average
2021-09-27,2021-09-27,BLAN,ensemble,4,amblyomma_americanum,4.397553874384044,top_3_weighted_average
2021-09-27,2021-09-27,BLAN,ensemble,5,amblyomma_americanum,4.240416402289577,top_3_weighted_average
2021-09-27,2021-09-27,BLAN,ensemble,6,amblyomma_americanum,4.2300906134954115,top_3_weighted_average
2021-09-27,2021-09-27,BLAN,ensemble,7,amblyomma_americanum,4.290282102724865,top_3_weighted_average
2021-09-27,2021-09-27,BLAN,ensemble,8,amblyomma_americanum,4.341506969558547,top_3_weighted_average
2021-09-27,2021-09-27,BLAN,ensemble,9,amblyomma_americanum,4.175500792577191,top_3_weighted_average
2021-09-27,2021-09-27,BLAN,ensemble,10,amblyomma_americanum,4.33684025380274,top_3_weighted_average
2021-09-27,2021-09-27,BLAN,ensemble,11,amblyomma_americanum,4.286215555544013,top_3_weighted_average
2021-09-27,2021-09-27,BLAN,ensemble,12,amblyomma_americanum,4.163234171243181,top_3_weighted_average
2021-09-27,2021-09-27,BLAN,ensemble,13,amblyomma_americanum,4.412150620850642,top_3_weighted_average
2021-09-27,2021-09-27,BLAN,ensemble,14,amblyomma_americanum,4.19976533242789,top_3_weighted_average
2021-09-27,2021-09-27,BLAN,ensemble,15,amblyomma_americanum,4.280888843589791,top_3_weighted_average
2021-09-27,2021-09-27,BLAN,ensemble,16,amblyomma_americanum,4.30618497018705,top_3_weighted_average
2021-09-27,2021-09-27,BLAN,ensemble,17,amblyomma_americanum,4.283285477584342,top_3_weighted_average
2021-09-27,2021-09-27,BLAN,ensemble,18,amblyomma_americanum,4.373898732936773,top_3_weighted_average
2021-09-27,2021-09-27,BLAN,ensemble,19,amblyomma_americanum,4.3825535950329115,top_3_weighted_average
2021-09-27,2021-09-27,BLAN,ensemble,20,amblyomma_americanum,4.34672389816559,top_3_weighted_average
2021-09-27,2021-09-27,BLAN,ensemble,21,amblyomma_americanum,4.104751288195042,top_3_weighted_average
2021-09-27,2021-09-27,BLAN,ensemble,22,amblyomma_americanum,4.3281245270965005,top_3_weighted_average
2021-09-27,2021-09-27,BLAN,ensemble,23,amblyomma_americanum,4.3172771934556105,top_3_weighted_average
2021-09-27,2021-09-27,BLAN,ensemble,24,amblyomma_americanum,4.43414798286876,top_3_weighted_average
2021-09-27,2021-09-27,BLAN,ensemble,25,amblyomma_americanum,4.239145807713281,top_3_weighted_average
2021-09-27,2021-09-27,BLAN,ensemble,26,amblyomma_americanum,4.3711460720591475,top_3_weighted_average
2021-09-27,2021-09-27,BLAN,ensemble,27,amblyomma_americanum,4.326479233527866,top_3_weighted_average
2021-09-27,2021-09-27,BLAN,ensemble,28,amblyomma_americanum,4.18215241919817,top_3_weighted_average
2021-09-27,2021-09-27,BLAN,ensemble,29,amblyomma_americanum,4.173483723313494,top_3_weighted_average
2021-09-27,2021-09-27,BLAN,ensemble,30,amblyomma_americanum,4.226951345195153,top_3_weighted_average
2021-09-27,2021-09-27,BLAN,ensemble,31,amblyomma_americanum,4.292671873122208,top_3_weighted_average
2021-10-04,2021-09-27,BLAN,ensemble,1,amblyomma_americanum,3.595286275654128,top_3_weighted_average
2021-10-04,2021-09-27,BLAN,ensemble,2,amblyomma_americanum,3.8190909163442694,top_3_weighted_average
2021-10-04,2021-09-27,BLAN,ensemble,3,amblyomma_americanum,4.099801919581563,top_3_weighted_average
2021-10-04,2021-09-27,BLAN,ensemble,4,amblyomma_americanum,3.7715294073295804,top_3_weighted_average
2021-10-04,2021-09-27,BLAN,ensemble,5,amblyomma_americanum,4.125063651541932,top_3_weighted_average
2021-10-04,2021-09-27,BLAN,ensemble,6,amblyomma_americanum,3.6108851406014657,top_3_weighted_average
2021-10-04,2021-09-27,BLAN,ensemble,7,amblyomma_americanum,3.7262179591247007,top_3_weighted_average
